source_path,trimmed_path,label,split,is_phrase
Strings/cello/A2/cello_A2_025_forte_arco-normal.mp3,work/trimmed/Strings/cello/A2/cello_A2_025_forte_arco-normal.wav,cello,test,0
Strings/cello/A2/cello_A2_025_fortissimo_arco-normal.mp3,work/trimmed/Strings/cello/A2/cello_A2_025_fortissimo_arco-normal.wav,cello,train,0
Strings/cello/A2/cello_A2_025_mezzo-forte_arco-col-legno-battuto.mp3,work/trimmed/Strings/cello/A2/cello_A2_025_mezzo-forte_arco-col-legno-battuto.wav,cello,train,0
Strings/cello/A2/cello_A2_025_mezzo-piano_arco-normal.mp3,work/trimmed/Strings/cello/A2/cello_A2_025_mezzo-piano_arco-normal.wav,cello,test,0
Strings/cello/A2/cello_A2_025_pianissimo_arco-normal.mp3,work/trimmed/Strings/cello/A2/cello_A2_025_pianissimo_arco-normal.wav,cello,train,0
Strings/cello/A2/cello_A2_05_forte_arco-normal.mp3,work/trimmed/Strings/cello/A2/cello_A2_05_forte_arco-normal.wav,cello,train,0
Strings/cello/A2/cello_A2_05_fortissimo_arco-normal.mp3,work/trimmed/Strings/cello/A2/cello_A2_05_fortissimo_arco-normal.wav,cello,train,0
Strings/cello/A2/cello_A2_05_mezzo-piano_arco-normal.mp3,work/trimmed/Strings/cello/A2/cello_A2_05_mezzo-piano_arco-normal.wav,cello,val,0
Strings/cello/A2/cello_A2_05_pianissimo_arco-normal.mp3,work/trimmed/Strings/cello/A2/cello_A2_05_pianissimo_arco-normal.wav,cello,train,0
Strings/cello/A2/cello_A2_15_forte_arco-normal.mp3,work/trimmed/Strings/cello/A2/cello_A2_15_forte_arco-normal.wav,cello,train,0
Strings/cello/A2/cello_A2_15_pianissimo_arco-normal.mp3,work/trimmed/Strings/cello/A2/cello_A2_15_pianissimo_arco-normal.wav,cello,train,0
Strings/cello/A2/cello_A2_15_piano_arco-normal.mp3,work/trimmed/Strings/cello/A2/cello_A2_15_piano_arco-normal.wav,cello,val,0
Strings/cello/A2/cello_A2_1_forte_arco-normal.mp3,work/trimmed/Strings/cello/A2/cello_A2_1_forte_arco-normal.wav,cello,train,0
Strings/cello/A2/cello_A2_1_fortissimo_arco-normal.mp3,work/trimmed/Strings/cello/A2/cello_A2_1_fortissimo_arco-normal.wav,cello,val,0
Strings/cello/A2/cello_A2_1_mezzo-piano_arco-normal.mp3,work/trimmed/Strings/cello/A2/cello_A2_1_mezzo-piano_arco-normal.wav,cello,train,0
Strings/cello/A2/cello_A2_1_mezzo-piano_non-vibrato.mp3,work/trimmed/Strings/cello/A2/cello_A2_1_mezzo-piano_non-vibrato.wav,cello,test,0
Strings/cello/A2/cello_A2_1_pianissimo_arco-normal.mp3,work/trimmed/Strings/cello/A2/cello_A2_1_pianissimo_arco-normal.wav,cello,test,0
Strings/cello/A3/cello_A3_025_forte_arco-normal.mp3,work/trimmed/Strings/cello/A3/cello_A3_025_forte_arco-normal.wav,cello,train,0
Strings/cello/A3/cello_A3_025_fortissimo_arco-normal.mp3,work/trimmed/Strings/cello/A3/cello_A3_025_fortissimo_arco-normal.wav,cello,train,0
Strings/cello/A3/cello_A3_025_mezzo-forte_arco-col-legno-battuto.mp3,work/trimmed/Strings/cello/A3/cello_A3_025_mezzo-forte_arco-col-legno-battuto.wav,cello,train,0
Strings/cello/A3/cello_A3_025_mezzo-piano_arco-normal.mp3,work/trimmed/Strings/cello/A3/cello_A3_025_mezzo-piano_arco-normal.wav,cello,train,0
Strings/cello/A3/cello_A3_025_pianissimo_arco-normal.mp3,work/trimmed/Strings/cello/A3/cello_A3_025_pianissimo_arco-normal.wav,cello,train,0
Strings/cello/A3/cello_A3_05_forte_arco-normal.mp3,work/trimmed/Strings/cello/A3/cello_A3_05_forte_arco-normal.wav,cello,train,0
Strings/cello/A3/cello_A3_05_fortissimo_arco-normal.mp3,work/trimmed/Strings/cello/A3/cello_A3_05_fortissimo_arco-normal.wav,cello,train,0
