path,label,family,duration_s,sample_rate,note,midi,dynamic,technique,is_plain,is_phrase
Strings/cello/A2/cello_A2_025_forte_arco-normal.mp3,cello,strings,0.8359,44100,A2,45,forte,arco-normal,1,0
Strings/cello/A2/cello_A2_025_fortissimo_arco-normal.mp3,cello,strings,0.6269,44100,A2,45,fortissimo,arco-normal,1,0
Strings/cello/A2/cello_A2_025_mezzo-forte_arco-col-legno-battuto.mp3,cello,strings,0.6531,44100,A2,45,mezzo-forte,arco-col-legno-battuto,0,0
Strings/cello/A2/cello_A2_025_mezzo-piano_arco-normal.mp3,cello,strings,0.8359,44100,A2,45,mezzo-piano,arco-normal,1,0
Strings/cello/A2/cello_A2_025_pianissimo_arco-normal.mp3,cello,strings,0.6008,44100,A2,45,pianissimo,arco-normal,1,0
Strings/cello/A2/cello_A2_05_forte_arco-normal.mp3,cello,strings,0.7837,44100,A2,45,forte,arco-normal,1,0
Strings/cello/A2/cello_A2_05_fortissimo_arco-normal.mp3,cello,strings,0.6531,44100,A2,45,fortissimo,arco-normal,1,0
Strings/cello/A2/cello_A2_05_mezzo-piano_arco-normal.mp3,cello,strings,0.9404,44100,A2,45,mezzo-piano,arco-normal,1,0
Strings/cello/A2/cello_A2_05_pianissimo_arco-normal.mp3,cello,strings,0.862,44100,A2,45,pianissimo,arco-normal,1,0
Strings/cello/A2/cello_A2_15_forte_arco-normal.mp3,cello,strings,2.2465,44100,A2,45,forte,arco-normal,1,0
Strings/cello/A2/cello_A2_15_pianissimo_arco-normal.mp3,cello,strings,2.351,44100,A2,45,pianissimo,arco-normal,1,0
Strings/cello/A2/cello_A2_15_piano_arco-normal.mp3,cello,strings,2.2727,44100,A2,45,piano,arco-normal,1,0
Strings/cello/A2/cello_A2_1_forte_arco-normal.mp3,cello,strings,1.3322,44100,A2,45,forte,arco-normal,1,0
Strings/cello/A2/cello_A2_1_fortissimo_arco-normal.mp3,cello,strings,1.1233,44100,A2,45,fortissimo,arco-normal,1,0
Strings/cello/A2/cello_A2_1_mezzo-piano_arco-normal.mp3,cello,strings,1.4106,44100,A2,45,mezzo-piano,arco-normal,1,0
Strings/cello/A2/cello_A2_1_mezzo-piano_non-vibrato.mp3,cello,strings,0.7576,44100,A2,45,mezzo-piano,non-vibrato,0,0
Strings/cello/A2/cello_A2_1_pianissimo_arco-normal.mp3,cello,strings,1.2539,44100,A2,45,pianissimo,arco-normal,1,0
Strings/cello/A3/cello_A3_025_forte_arco-normal.mp3,cello,strings,0.8359,44100,A3,57,forte,arco-normal,1,0
Strings/cello/A3/cello_A3_025_fortissimo_arco-normal.mp3,cello,strings,0.6008,44100,A3,57,fortissimo,arco-normal,1,0
Strings/cello/A3/cello_A3_025_mezzo-forte_arco-col-legno-battuto.mp3,cello,strings,0.4963,44100,A3,57,mezzo-forte,arco-col-legno-battuto,0,0
Strings/cello/A3/cello_A3_025_mezzo-piano_arco-normal.mp3,cello,strings,0.7314,44100,A3,57,mezzo-piano,arco-normal,1,0
Strings/cello/A3/cello_A3_025_pianissimo_arco-normal.mp3,cello,strings,0.7837,44100,A3,57,pianissimo,arco-normal,1,0
Strings/cello/A3/cello_A3_05_forte_arco-normal.mp3,cello,strings,0.8359,44100,A3,57,forte,arco-normal,1,0
Strings/cello/A3/cello_A3_05_fortissimo_arco-normal.mp3,cello,strings,0.7314,44100,A3,57,fortissimo,arco-normal,1,0
Strings/cello/A3/cello_A3_05_mezzo-piano_arco-normal.mp3,cello,strings,0.8882,44100,A3,57,mezzo-piano,arco-normal,1,0
Strings/cello/A3/cello_A3_15_forte_arco-normal.mp3,cello,strings,2.5078,44100,A3,57,forte,arco-normal,1,0
Strings/cello/A3/cello_A3_15_mezzo-piano_arco-normal.mp3,cello,strings,2.5078,44100,A3,57,mezzo-piano,arco-normal,1,0
