path,label,family,duration_s,sample_rate,note,midi,dynamic,technique,is_plain,is_phrase
bassoon/A2/bassoon_A2_025_forte_normal.mp3,bassoon,woodwind,0.3135,44100,A2,45,forte,normal,1,0
bassoon/A2/bassoon_A2_025_fortissimo_normal.mp3,bassoon,woodwind,0.5225,44100,A2,45,fortissimo,normal,1,0
bassoon/A2/bassoon_A2_025_mezzo-piano_normal.mp3,bassoon,woodwind,0.418,44100,A2,45,mezzo-piano,normal,1,0
bassoon/A2/bassoon_A2_025_piano_normal.mp3,bassoon,woodwind,0.3396,44100,A2,45,piano,normal,1,0
bassoon/A2/bassoon_A2_05_forte_normal.mp3,bassoon,woodwind,0.3135,44100,A2,45,forte,normal,1,0
bassoon/A2/bassoon_A2_05_fortissimo_normal.mp3,bassoon,woodwind,1.4629,44100,A2,45,fortissimo,normal,1,0
bassoon/A2/bassoon_A2_05_mezzo-forte_normal.mp3,bassoon,woodwind,0.3658,44100,A2,45,mezzo-forte,normal,1,0
bassoon/A2/bassoon_A2_05_mezzo-piano_normal.mp3,bassoon,woodwind,1.3584,44100,A2,45,mezzo-piano,normal,1,0
bassoon/A2/bassoon_A2_05_piano_normal.mp3,bassoon,woodwind,0.3919,44100,A2,45,piano,normal,1,0
bassoon/A2/bassoon_A2_15_piano_normal.mp3,bassoon,woodwind,1.4106,44100,A2,45,piano,normal,1,0
bassoon/A2/bassoon_A2_1_forte_normal.mp3,bassoon,woodwind,1.3584,44100,A2,45,forte,normal,1,0
bassoon/A2/bassoon_A2_1_mezzo-forte_normal.mp3,bassoon,woodwind,1.3584,44100,A2,45,mezzo-forte,normal,1,0
bassoon/A2/bassoon_A2_1_mezzo-piano_normal.mp3,bassoon,woodwind,1.3322,44100,A2,45,mezzo-piano,normal,1,0
bassoon/A2/bassoon_A2_1_piano_normal.mp3,bassoon,woodwind,1.3584,44100,A2,45,piano,normal,1,0
bassoon/A3/bassoon_A3_025_forte_normal.mp3,bassoon,woodwind,0.2874,44100,A3,57,forte,normal,1,0
bassoon/A3/bassoon_A3_025_fortissimo_normal.mp3,bassoon,woodwind,0.3135,44100,A3,57,fortissimo,normal,1,0
bassoon/A3/bassoon_A3_025_mezzo-piano_normal.mp3,bassoon,woodwind,0.3135,44100,A3,57,mezzo-piano,normal,1,0
