window_path,label,split,source_path,start_time,content_s,pre_norm_rms,post_norm_rms
work/windows/bassoon/A2/bassoon_A2_025_forte_normal_w000.wav,bassoon,train,bassoon/A2/bassoon_A2_025_forte_normal.mp3,0.0,0.3135,0.05489,0.1
work/windows/bassoon/A2/bassoon_A2_025_fortissimo_normal_w000.wav,bassoon,train,bassoon/A2/bassoon_A2_025_fortissimo_normal.mp3,0.0,0.5108,0.06875,0.1
work/windows/bassoon/A2/bassoon_A2_025_mezzo-piano_normal_w000.wav,bassoon,train,bassoon/A2/bassoon_A2_025_mezzo-piano_normal.mp3,0.0,0.3947,0.04408,0.1
work/windows/bassoon/A2/bassoon_A2_025_piano_normal_w000.wav,bassoon,train,bassoon/A2/bassoon_A2_025_piano_normal.mp3,0.0,0.3251,0.02633,0.1
work/windows/bassoon/A2/bassoon_A2_05_forte_normal_w000.wav,bassoon,train,bassoon/A2/bassoon_A2_05_forte_normal.mp3,0.0,0.3019,0.03878,0.1
work/windows/bassoon/A2/bassoon_A2_05_fortissimo_normal_w000.wav,bassoon,train,bassoon/A2/bassoon_A2_05_fortissimo_normal.mp3,0.0,1.4164,0.07447,0.1
work/windows/bassoon/A2/bassoon_A2_05_mezzo-forte_normal_w000.wav,bassoon,train,bassoon/A2/bassoon_A2_05_mezzo-forte_normal.mp3,0.0,0.3251,0.05718,0.1
work/windows/bassoon/A2/bassoon_A2_05_mezzo-piano_normal_w000.wav,bassoon,train,bassoon/A2/bassoon_A2_05_mezzo-piano_normal.mp3,0.0,1.3468,0.0572,0.1
work/windows/bassoon/A2/bassoon_A2_05_piano_normal_w000.wav,bassoon,train,bassoon/A2/bassoon_A2_05_piano_normal.mp3,0.0,0.3918,0.02782,0.1
work/windows/bassoon/A2/bassoon_A2_15_piano_normal_w000.wav,bassoon,train,bassoon/A2/bassoon_A2_15_piano_normal.mp3,0.0,1.4106,0.03601,0.1
work/windows/bassoon/A2/bassoon_A2_1_forte_normal_w000.wav,bassoon,train,bassoon/A2/bassoon_A2_1_forte_normal.mp3,0.0,1.3468,0.0717,0.1
work/windows/bassoon/A2/bassoon_A2_1_mezzo-forte_normal_w000.wav,bassoon,train,bassoon/A2/bassoon_A2_1_mezzo-forte_normal.mp3,0.0,1.3003,0.0758,0.1
work/windows/bassoon/A2/bassoon_A2_1_mezzo-piano_normal_w000.wav,bassoon,train,bassoon/A2/bassoon_A2_1_mezzo-piano_normal.mp3,0.0,1.3235,0.05911,0.1
work/windows/bassoon/A2/bassoon_A2_1_piano_normal_w000.wav,bassoon,train,bassoon/A2/bassoon_A2_1_piano_normal.mp3,0.0,1.3584,0.03616,0.1
work/windows/bassoon/A3/bassoon_A3_025_forte_normal_w000.wav,bassoon,train,bassoon/A3/bassoon_A3_025_forte_normal.mp3,0.0,0.2786,0.07608,0.1
work/windows/bassoon/A3/bassoon_A3_025_fortissimo_normal_w000.wav,bassoon,train,bassoon/A3/bassoon_A3_025_fortissimo_normal.mp3,0.0,0.2786,0.08492,0.1
work/windows/bassoon/A3/bassoon_A3_025_mezzo-piano_normal_w000.wav,bassoon,train,bassoon/A3/bassoon_A3_025_mezzo-piano_normal.mp3,0.0,0.2786,0.07295,0.1
work/windows/bassoon/A3/bassoon_A3_025_piano_normal_w000.wav,bassoon,train,bassoon/A3/bassoon_A3_025_piano_normal.mp3,0.0,0.2554,0.0406,0.1
work/windows/bassoon/A3/bassoon_A3_05_forte_normal_w000.wav,bassoon,train,bassoon/A3/bassoon_A3_05_forte_normal.mp3,0.0,0.4412,0.0823,0.1
work/windows/bassoon/A3/bassoon_A3_05_fortissimo_normal_w000.wav,bassoon,train,bassoon/A3/bassoon_A3_05_fortissimo_normal.mp3,0.0,0.4412,0.09785,0.1
work/windows/bassoon/A3/bassoon_A3_05_mezzo-piano_normal_w000.wav,bassoon,train,bassoon/A3/bassoon_A3_05_mezzo-piano_normal.mp3,0.0,0.3947,0.07674,0.1
work/windows/bassoon/A3/bassoon_A3_05_piano_normal_w000.wav,bassoon,train,bassoon/A3/bassoon_A3_05_piano_normal.mp3,0.0,0.2786,0.03769,0.1
work/windows/bassoon/A3/bassoon_A3_15_forte_normal_w000.wav,bassoon,train,bassoon/A3/bassoon_A3_15_forte_normal.mp3,0.0,1.2539,0.10832,0.1
work/windows/bassoon/A3/bassoon_A3_15_mezzo-piano_normal_w000.wav,bassoon,train,bassoon/A3/bassoon_A3_15_mezzo-piano_normal.mp3,0.0,1.2074,0.08621,0.1
work/windows/bassoon/A3/bassoon_A3_15_piano_normal_w000.wav,bassoon,train,bassoon/A3/bassoon_A3_15_piano_normal.mp3,0.0,1.3003,0.0535,0.1
work/windows/bassoon/A3/bassoon_A3_1_forte_normal_w000.wav,bassoon,train,bassoon/A3/bassoon_A3_1_forte_normal.mp3,0.0,1.3932,0.10489,0.1
work/windows/bassoon/A3/bassoon_A3_1_fortissimo_normal_w000.wav,bassoon,train,bassoon/A3/bassoon_A3_1_fortissimo_normal.mp3,0.0,1.3003,0.11799,0.1
work/windows/bassoon/A3/bassoon_A3_1_mezzo-forte_normal_w000.wav,bassoon,train,bassoon/A3/bassoon_A3_1_mezzo-forte_normal.mp3,0.0,1.2307,0.12071,0.1
work/windows/bassoon/A3/bassoon_A3_1_mezzo-piano_normal_w000.wav,bassoon,train,bassoon/A3/bassoon_A3_1_mezzo-piano_normal.mp3,0.0,1.3003,0.09587,0.1
work/windows/bassoon/A3/bassoon_A3_1_piano_normal_w000.wav,bassoon,train,bassoon/A3/bassoon_A3_1_piano_normal.mp3,0.0,1.3003,0.05197,0.1
work/windows/bassoon/A4/bassoon_A4_025_forte_normal_w000.wav,bassoon,val,bassoon/A4/bassoon_A4_025_forte_normal.mp3,0.0,0.2786,0.04572,0.1
work/windows/bassoon/A4/bassoon_A4_025_fortissimo_normal_w000.wav,bassoon,val,bassoon/A4/bassoon_A4_025_fortissimo_normal.mp3,0.0,0.4412,0.07441,0.1
work/windows/bassoon/A4/bassoon_A4_025_mezzo-piano_normal_w000.wav,bassoon,val,bassoon/A4/bassoon_A4_025_mezzo-piano_normal.mp3,0.0,0.2322,0.03641,0.1
work/windows/bassoon/A4/bassoon_A4_025_piano_normal_w000.wav,bassoon,val,bassoon/A4/bassoon_A4_025_piano_normal.mp3,0.0,0.3918,0.02449,0.1
work/windows/bassoon/A4/bassoon_A4_05_forte_normal_w000.wav,bassoon,val,bassoon/A4/bassoon_A4_05_forte_normal.mp3,0.0,0.418,0.04745,0.1
work/windows/bassoon/A4/bassoon_A4_05_fortissimo_normal_w000.wav,bassoon,val,bassoon/A4/bassoon_A4_05_fortissimo_normal.mp3,0.0,1.3468,0.08996,0.1
work/windows/bassoon/A4/bassoon_A4_05_mezzo-forte_normal_w000.wav,bassoon,val,bassoon/A4/bassoon_A4_05_mezzo-forte_normal.mp3,0.0,0.3019,0.07491,0.1
work/windows/bassoon/A4/bassoon_A4_05_mezzo-piano_normal_w000.wav,bassoon,val,bassoon/A4/bassoon_A4_05_mezzo-piano_normal.mp3,0.0,0.3947,0.042,0.1
work/windows/bassoon/A4/bassoon_A4_05_piano_normal_w000.wav,bassoon,val,bassoon/A4/bassoon_A4_05_piano_normal.mp3,0.0,0.5224,0.01804,0.1
work/windows/bassoon/A4/bassoon_A4_15_forte_normal_w000.wav,bassoon,val,bassoon/A4/bassoon_A4_15_forte_normal.mp3,0.0,1.2074,0.05576,0.1
work/windows/bassoon/A4/bassoon_A4_15_mezzo-piano_normal_w000.wav,bassoon,val,bassoon/A4/bassoon_A4_15_mezzo-piano_normal.mp3,0.0,1.2771,0.05156,0.1
work/windows/bassoon/A4/bassoon_A4_15_piano_normal_w000.wav,bassoon,val,bassoon/A4/bassoon_A4_15_piano_normal.mp3,0.0,1.3845,0.03068,0.1
work/windows/bassoon/A4/bassoon_A4_1_forte_normal_w000.wav,bassoon,val,bassoon/A4/bassoon_A4_1_forte_normal.mp3,0.0,1.4164,0.05948,0.1
work/windows/bassoon/A4/bassoon_A4_1_mezzo-piano_normal_w000.wav,bassoon,val,bassoon/A4/bassoon_A4_1_mezzo-piano_normal.mp3,0.0,1.2771,0.04929,0.1
work/windows/bassoon/A4/bassoon_A4_1_piano_normal_w000.wav,bassoon,val,bassoon/A4/bassoon_A4_1_piano_normal.mp3,0.0,1.2278,0.02603,0.1
work/windows/bassoon/As1/bassoon_As1_025_fortissimo_normal_w000.wav,bassoon,train,bassoon/As1/bassoon_As1_025_fortissimo_normal.mp3,0.0,0.3396,0.02745,0.1
work/windows/bassoon/As1/bassoon_As1_025_mezzo-piano_normal_w000.wav,bassoon,train,bassoon/As1/bassoon_As1_025_mezzo-piano_normal.mp3,0.0,0.3396,0.01936,0.1
work/windows/bassoon/As1/bassoon_As1_025_piano_normal_w000.wav,bassoon,train,bassoon/As1/bassoon_As1_025_piano_normal.mp3,0.0,0.2612,0.0083,0.1
work/windows/bassoon/As1/bassoon_As1_05_forte_normal_w000.wav,bassoon,train,bassoon/As1/bassoon_As1_05_forte_normal.mp3,0.0,0.6792,0.03455,0.1
work/windows/bassoon/As1/bassoon_As1_05_fortissimo_normal_w000.wav,bassoon,train,bassoon/As1/bassoon_As1_05_fortissimo_normal.mp3,0.0,0.5747,0.03953,0.1
work/windows/bassoon/As1/bassoon_As1_05_mezzo-piano_normal_w000.wav,bassoon,train,bassoon/As1/bassoon_As1_05_mezzo-piano_normal.mp3,0.0,0.4412,0.02089,0.1
work/windows/bassoon/As1/bassoon_As1_05_piano_normal_w000.wav,bassoon,train,bassoon/As1/bassoon_As1_05_piano_normal.mp3,0.0,0.5747,0.00991,0.1
work/windows/bassoon/As1/bassoon_As1_15_forte_normal_w000.wav,bassoon,train,bassoon/As1/bassoon_As1_15_forte_normal.mp3,0.0,1.1378,0.03782,0.1
work/windows/bassoon/As1/bassoon_As1_15_fortissimo_normal_w000.wav,bassoon,train,bassoon/As1/bassoon_As1_15_fortissimo_normal.mp3,0.0,1.3322,0.04402,0.1
work/windows/bassoon/As1/bassoon_As1_15_mezzo-piano_normal_w000.wav,bassoon,train,bassoon/As1/bassoon_As1_15_mezzo-piano_normal.mp3,0.0,1.3235,0.02808,0.1
work/windows/bassoon/As1/bassoon_As1_15_piano_normal_w000.wav,bassoon,train,bassoon/As1/bassoon_As1_15_piano_normal.mp3,0.0,1.161,0.01594,0.1
work/windows/bassoon/As1/bassoon_As1_1_forte_normal_w000.wav,bassoon,train,bassoon/As1/bassoon_As1_1_forte_normal.mp3,0.0,1.37,0.03481,0.1
work/windows/bassoon/As1/bassoon_As1_1_fortissimo_normal_w000.wav,bassoon,train,bassoon/As1/bassoon_As1_1_fortissimo_normal.mp3,0.0,1.4861,0.04623,0.1
work/windows/bassoon/As1/bassoon_As1_1_mezzo-forte_normal_w000.wav,bassoon,train,bassoon/As1/bassoon_As1_1_mezzo-forte_normal.mp3,0.0,0.9143,0.02271,0.1
work/windows/bassoon/As1/bassoon_As1_1_mezzo-piano_normal_w000.wav,bassoon,train,bassoon/As1/bassoon_As1_1_mezzo-piano_normal.mp3,0.0,1.2278,0.02832,0.1
