path,label,family,duration_s,sample_rate,note,midi,dynamic,technique,is_plain,is_phrase,resampled_path,resampled_dur_s,status,trimmed_path,trimmed_dur_s,trim_flag
bassoon/A2/bassoon_A2_025_forte_normal.mp3,bassoon,woodwind,0.3135,44100,A2,45,forte,normal,1,0,work/resampled/bassoon/A2/bassoon_A2_025_forte_normal.wav,0.3135,ok,work/trimmed/bassoon/A2/bassoon_A2_025_forte_normal.wav,0.3135,ok
bassoon/A2/bassoon_A2_025_fortissimo_normal.mp3,bassoon,woodwind,0.5225,44100,A2,45,fortissimo,normal,1,0,work/resampled/bassoon/A2/bassoon_A2_025_fortissimo_normal.wav,0.5224,ok,work/trimmed/bassoon/A2/bassoon_A2_025_fortissimo_normal.wav,0.5108,ok
bassoon/A2/bassoon_A2_025_mezzo-piano_normal.mp3,bassoon,woodwind,0.418,44100,A2,45,mezzo-piano,normal,1,0,work/resampled/bassoon/A2/bassoon_A2_025_mezzo-piano_normal.wav,0.418,ok,work/trimmed/bassoon/A2/bassoon_A2_025_mezzo-piano_normal.wav,0.3947,ok
bassoon/A2/bassoon_A2_025_piano_normal.mp3,bassoon,woodwind,0.3396,44100,A2,45,piano,normal,1,0,work/resampled/bassoon/A2/bassoon_A2_025_piano_normal.wav,0.3396,ok,work/trimmed/bassoon/A2/bassoon_A2_025_piano_normal.wav,0.3251,ok
bassoon/A2/bassoon_A2_05_forte_normal.mp3,bassoon,woodwind,0.3135,44100,A2,45,forte,normal,1,0,work/resampled/bassoon/A2/bassoon_A2_05_forte_normal.wav,0.3135,ok,work/trimmed/bassoon/A2/bassoon_A2_05_forte_normal.wav,0.3019,ok
bassoon/A2/bassoon_A2_05_fortissimo_normal.mp3,bassoon,woodwind,1.4629,44100,A2,45,fortissimo,normal,1,0,work/resampled/bassoon/A2/bassoon_A2_05_fortissimo_normal.wav,1.4629,ok,work/trimmed/bassoon/A2/bassoon_A2_05_fortissimo_normal.wav,1.4164,ok
bassoon/A2/bassoon_A2_05_mezzo-forte_normal.mp3,bassoon,woodwind,0.3658,44100,A2,45,mezzo-forte,normal,1,0,work/resampled/bassoon/A2/bassoon_A2_05_mezzo-forte_normal.wav,0.3657,ok,work/trimmed/bassoon/A2/bassoon_A2_05_mezzo-forte_normal.wav,0.3251,ok
bassoon/A2/bassoon_A2_05_mezzo-piano_normal.mp3,bassoon,woodwind,1.3584,44100,A2,45,mezzo-piano,normal,1,0,work/resampled/bassoon/A2/bassoon_A2_05_mezzo-piano_normal.wav,1.3584,ok,work/trimmed/bassoon/A2/bassoon_A2_05_mezzo-piano_normal.wav,1.3468,ok
bassoon/A2/bassoon_A2_05_piano_normal.mp3,bassoon,woodwind,0.3919,44100,A2,45,piano,normal,1,0,work/resampled/bassoon/A2/bassoon_A2_05_piano_normal.wav,0.3918,ok,work/trimmed/bassoon/A2/bassoon_A2_05_piano_normal.wav,0.3918,ok
bassoon/A2/bassoon_A2_15_piano_normal.mp3,bassoon,woodwind,1.4106,44100,A2,45,piano,normal,1,0,work/resampled/bassoon/A2/bassoon_A2_15_piano_normal.wav,1.4106,ok,work/trimmed/bassoon/A2/bassoon_A2_15_piano_normal.wav,1.4106,ok
bassoon/A2/bassoon_A2_1_forte_normal.mp3,bassoon,woodwind,1.3584,44100,A2,45,forte,normal,1,0,work/resampled/bassoon/A2/bassoon_A2_1_forte_normal.wav,1.3584,ok,work/trimmed/bassoon/A2/bassoon_A2_1_forte_normal.wav,1.3468,ok
bassoon/A2/bassoon_A2_1_mezzo-forte_normal.mp3,bassoon,woodwind,1.3584,44100,A2,45,mezzo-forte,normal,1,0,work/resampled/bassoon/A2/bassoon_A2_1_mezzo-forte_normal.wav,1.3584,ok,work/trimmed/bassoon/A2/bassoon_A2_1_mezzo-forte_normal.wav,1.3003,ok
bassoon/A2/bassoon_A2_1_mezzo-piano_normal.mp3,bassoon,woodwind,1.3322,44100,A2,45,mezzo-piano,normal,1,0,work/resampled/bassoon/A2/bassoon_A2_1_mezzo-piano_normal.wav,1.3322,ok,work/trimmed/bassoon/A2/bassoon_A2_1_mezzo-piano_normal.wav,1.3235,ok
bassoon/A2/bassoon_A2_1_piano_normal.mp3,bassoon,woodwind,1.3584,44100,A2,45,piano,normal,1,0,work/resampled/bassoon/A2/bassoon_A2_1_piano_normal.wav,1.3584,ok,work/trimmed/bassoon/A2/bassoon_A2_1_piano_normal.wav,1.3584,ok
bassoon/A3/bassoon_A3_025_forte_normal.mp3,bassoon,woodwind,0.2874,44100,A3,57,forte,normal,1,0,work/resampled/bassoon/A3/bassoon_A3_025_forte_normal.wav,0.2873,ok,work/trimmed/bassoon/A3/bassoon_A3_025_forte_normal.wav,0.2786,ok
bassoon/A3/bassoon_A3_025_fortissimo_normal.mp3,bassoon,woodwind,0.3135,44100,A3,57,fortissimo,normal,1,0,work/resampled/bassoon/A3/bassoon_A3_025_fortissimo_normal.wav,0.3135,ok,work/trimmed/bassoon/A3/bassoon_A3_025_fortissimo_normal.wav,0.2786,ok
bassoon/A3/bassoon_A3_025_mezzo-piano_normal.mp3,bassoon,woodwind,0.3135,44100,A3,57,mezzo-piano,normal,1,0,work/resampled/bassoon/A3/bassoon_A3_025_mezzo-piano_normal.wav,0.3135,ok,work/trimmed/bassoon/A3/bassoon_A3_025_mezzo-piano_normal.wav,0.2786,ok
bassoon/A3/bassoon_A3_025_piano_normal.mp3,bassoon,woodwind,0.2612,44100,A3,57,piano,normal,1,0,work/resampled/bassoon/A3/bassoon_A3_025_piano_normal.wav,0.2612,ok,work/trimmed/bassoon/A3/bassoon_A3_025_piano_normal.wav,0.2554,ok
bassoon/A3/bassoon_A3_05_forte_normal.mp3,bassoon,woodwind,0.4964,44100,A3,57,forte,normal,1,0,work/resampled/bassoon/A3/bassoon_A3_05_forte_normal.wav,0.4963,ok,work/trimmed/bassoon/A3/bassoon_A3_05_forte_normal.wav,0.4412,ok
bassoon/A3/bassoon_A3_05_fortissimo_normal.mp3,bassoon,woodwind,0.4703,44100,A3,57,fortissimo,normal,1,0,work/resampled/bassoon/A3/bassoon_A3_05_fortissimo_normal.wav,0.4702,ok,work/trimmed/bassoon/A3/bassoon_A3_05_fortissimo_normal.wav,0.4412,ok
bassoon/A3/bassoon_A3_05_mezzo-piano_normal.mp3,bassoon,woodwind,0.418,44100,A3,57,mezzo-piano,normal,1,0,work/resampled/bassoon/A3/bassoon_A3_05_mezzo-piano_normal.wav,0.418,ok,work/trimmed/bassoon/A3/bassoon_A3_05_mezzo-piano_normal.wav,0.3947,ok
bassoon/A3/bassoon_A3_05_piano_normal.mp3,bassoon,woodwind,0.2874,44100,A3,57,piano,normal,1,0,work/resampled/bassoon/A3/bassoon_A3_05_piano_normal.wav,0.2873,ok,work/trimmed/bassoon/A3/bassoon_A3_05_piano_normal.wav,0.2786,ok
bassoon/A3/bassoon_A3_15_forte_normal.mp3,bassoon,woodwind,1.3061,44100,A3,57,forte,normal,1,0,work/resampled/bassoon/A3/bassoon_A3_15_forte_normal.wav,1.3061,ok,work/trimmed/bassoon/A3/bassoon_A3_15_forte_normal.wav,1.2539,ok
bassoon/A3/bassoon_A3_15_mezzo-piano_normal.mp3,bassoon,woodwind,1.2279,44100,A3,57,mezzo-piano,normal,1,0,work/resampled/bassoon/A3/bassoon_A3_15_mezzo-piano_normal.wav,1.2278,ok,work/trimmed/bassoon/A3/bassoon_A3_15_mezzo-piano_normal.wav,1.2074,ok
bassoon/A3/bassoon_A3_15_piano_normal.mp3,bassoon,woodwind,1.3061,44100,A3,57,piano,normal,1,0,work/resampled/bassoon/A3/bassoon_A3_15_piano_normal.wav,1.3061,ok,work/trimmed/bassoon/A3/bassoon_A3_15_piano_normal.wav,1.3003,ok
bassoon/A3/bassoon_A3_1_forte_normal.mp3,bassoon,woodwind,1.4106,44100,A3,57,forte,normal,1,0,work/resampled/bassoon/A3/bassoon_A3_1_forte_normal.wav,1.4106,ok,work/trimmed/bassoon/A3/bassoon_A3_1_forte_normal.wav,1.3932,ok
bassoon/A3/bassoon_A3_1_fortissimo_normal.mp3,bassoon,woodwind,1.3322,44100,A3,57,fortissimo,normal,1,0,work/resampled/bassoon/A3/bassoon_A3_1_fortissimo_normal.wav,1.3322,ok,work/trimmed/bassoon/A3/bassoon_A3_1_fortissimo_normal.wav,1.3003,ok
bassoon/A3/bassoon_A3_1_mezzo-forte_normal.mp3,bassoon,woodwind,1.3322,44100,A3,57,mezzo-forte,normal,1,0,work/resampled/bassoon/A3/bassoon_A3_1_mezzo-forte_normal.wav,1.3322,ok,work/trimmed/bassoon/A3/bassoon_A3_1_mezzo-forte_normal.wav,1.2307,ok
bassoon/A3/bassoon_A3_1_mezzo-piano_normal.mp3,bassoon,woodwind,1.4106,44100,A3,57,mezzo-piano,normal,1,0,work/resampled/bassoon/A3/bassoon_A3_1_mezzo-piano_normal.wav,1.4106,ok,work/trimmed/bassoon/A3/bassoon_A3_1_mezzo-piano_normal.wav,1.3003,ok
bassoon/A3/bassoon_A3_1_piano_normal.mp3,bassoon,woodwind,1.3061,44100,A3,57,piano,normal,1,0,work/resampled/bassoon/A3/bassoon_A3_1_piano_normal.wav,1.3061,ok,work/trimmed/bassoon/A3/bassoon_A3_1_piano_normal.wav,1.3003,ok
bassoon/A4/bassoon_A4_025_forte_normal.mp3,bassoon,woodwind,0.2874,44100,A4,69,forte,normal,1,0,work/resampled/bassoon/A4/bassoon_A4_025_forte_normal.wav,0.2873,ok,work/trimmed/bassoon/A4/bassoon_A4_025_forte_normal.wav,0.2786,ok
bassoon/A4/bassoon_A4_025_fortissimo_normal.mp3,bassoon,woodwind,0.4703,44100,A4,69,fortissimo,normal,1,0,work/resampled/bassoon/A4/bassoon_A4_025_fortissimo_normal.wav,0.4702,ok,work/trimmed/bassoon/A4/bassoon_A4_025_fortissimo_normal.wav,0.4412,ok
