source_path,trimmed_path,label,note,split,is_phrase
Brass/Bass_Tuba/ordinario/BTb-ord-A#1-ff-N-T30d.wav,work/trimmed/Brass/Bass_Tuba/ordinario/BTb-ord-A#1-ff-N-T30d.wav,tuba,A#1,train,0
Brass/Bass_Tuba/ordinario/BTb-ord-A#1-mf-N-N.wav,work/trimmed/Brass/Bass_Tuba/ordinario/BTb-ord-A#1-mf-N-N.wav,tuba,A#1,train,0
Brass/Bass_Tuba/ordinario/BTb-ord-A#1-pp-N-N.wav,work/trimmed/Brass/Bass_Tuba/ordinario/BTb-ord-A#1-pp-N-N.wav,tuba,A#1,train,0
Brass/Bass_Tuba/ordinario/BTb-ord-A#2-ff-N-T19u.wav,work/trimmed/Brass/Bass_Tuba/ordinario/BTb-ord-A#2-ff-N-T19u.wav,tuba,A#2,test,0
Brass/Bass_Tuba/ordinario/BTb-ord-A#2-mf-N-T29u.wav,work/trimmed/Brass/Bass_Tuba/ordinario/BTb-ord-A#2-mf-N-T29u.wav,tuba,A#2,test,0
Brass/Bass_Tuba/ordinario/BTb-ord-A#2-pp-N-N.wav,work/trimmed/Brass/Bass_Tuba/ordinario/BTb-ord-A#2-pp-N-N.wav,tuba,A#2,test,0
Brass/Bass_Tuba/ordinario/BTb-ord-A#3-ff-N-N.wav,work/trimmed/Brass/Bass_Tuba/ordinario/BTb-ord-A#3-ff-N-N.wav,tuba,A#3,train,0
Brass/Bass_Tuba/ordinario/BTb-ord-A#3-mf-N-T14u.wav,work/trimmed/Brass/Bass_Tuba/ordinario/BTb-ord-A#3-mf-N-T14u.wav,tuba,A#3,train,0
Brass/Bass_Tuba/ordinario/BTb-ord-A#3-pp-N-T13d.wav,work/trimmed/Brass/Bass_Tuba/ordinario/BTb-ord-A#3-pp-N-T13d.wav,tuba,A#3,train,0
Brass/Bass_Tuba/ordinario/BTb-ord-A1-ff-N-T19d.wav,work/trimmed/Brass/Bass_Tuba/ordinario/BTb-ord-A1-ff-N-T19d.wav,tuba,A1,test,0
Brass/Bass_Tuba/ordinario/BTb-ord-A1-mf-N-T33u.wav,work/trimmed/Brass/Bass_Tuba/ordinario/BTb-ord-A1-mf-N-T33u.wav,tuba,A1,test,0
Brass/Bass_Tuba/ordinario/BTb-ord-A1-pp-N-T23d.wav,work/trimmed/Brass/Bass_Tuba/ordinario/BTb-ord-A1-pp-N-T23d.wav,tuba,A1,test,0
Brass/Bass_Tuba/ordinario/BTb-ord-A2-ff-N-N.wav,work/trimmed/Brass/Bass_Tuba/ordinario/BTb-ord-A2-ff-N-N.wav,tuba,A2,val,0
Brass/Bass_Tuba/ordinario/BTb-ord-A2-mf-N-T29u.wav,work/trimmed/Brass/Bass_Tuba/ordinario/BTb-ord-A2-mf-N-T29u.wav,tuba,A2,val,0
Brass/Bass_Tuba/ordinario/BTb-ord-A2-pp-N-T15u.wav,work/trimmed/Brass/Bass_Tuba/ordinario/BTb-ord-A2-pp-N-T15u.wav,tuba,A2,val,0
Brass/Bass_Tuba/ordinario/BTb-ord-A3-ff-N-N.wav,work/trimmed/Brass/Bass_Tuba/ordinario/BTb-ord-A3-ff-N-N.wav,tuba,A3,train,0
Brass/Bass_Tuba/ordinario/BTb-ord-A3-mf-N-N.wav,work/trimmed/Brass/Bass_Tuba/ordinario/BTb-ord-A3-mf-N-N.wav,tuba,A3,train,0
Brass/Bass_Tuba/ordinario/BTb-ord-A3-pp-N-N.wav,work/trimmed/Brass/Bass_Tuba/ordinario/BTb-ord-A3-pp-N-N.wav,tuba,A3,train,0
Brass/Bass_Tuba/ordinario/BTb-ord-B1-ff-N-N.wav,work/trimmed/Brass/Bass_Tuba/ordinario/BTb-ord-B1-ff-N-N.wav,tuba,B1,train,0
Brass/Bass_Tuba/ordinario/BTb-ord-B1-mf-N-T16u.wav,work/trimmed/Brass/Bass_Tuba/ordinario/BTb-ord-B1-mf-N-T16u.wav,tuba,B1,train,0
Brass/Bass_Tuba/ordinario/BTb-ord-B1-pp-N-N.wav,work/trimmed/Brass/Bass_Tuba/ordinario/BTb-ord-B1-pp-N-N.wav,tuba,B1,train,0
Brass/Bass_Tuba/ordinario/BTb-ord-B2-ff-N-N.wav,work/trimmed/Brass/Bass_Tuba/ordinario/BTb-ord-B2-ff-N-N.wav,tuba,B2,train,0
Brass/Bass_Tuba/ordinario/BTb-ord-B2-mf-N-T17u.wav,work/trimmed/Brass/Bass_Tuba/ordinario/BTb-ord-B2-mf-N-T17u.wav,tuba,B2,train,0
Brass/Bass_Tuba/ordinario/BTb-ord-B2-pp-N-T11d.wav,work/trimmed/Brass/Bass_Tuba/ordinario/BTb-ord-B2-pp-N-T11d.wav,tuba,B2,train,0
Brass/Bass_Tuba/ordinario/BTb-ord-B3-ff-N-T18d.wav,work/trimmed/Brass/Bass_Tuba/ordinario/BTb-ord-B3-ff-N-T18d.wav,tuba,B3,train,0
Brass/Bass_Tuba/ordinario/BTb-ord-B3-mf-N-N.wav,work/trimmed/Brass/Bass_Tuba/ordinario/BTb-ord-B3-mf-N-N.wav,tuba,B3,train,0
Brass/Bass_Tuba/ordinario/BTb-ord-B3-pp-N-T14d.wav,work/trimmed/Brass/Bass_Tuba/ordinario/BTb-ord-B3-pp-N-T14d.wav,tuba,B3,train,0
Brass/Bass_Tuba/ordinario/BTb-ord-C#2-ff-N-N.wav,work/trimmed/Brass/Bass_Tuba/ordinario/BTb-ord-C#2-ff-N-N.wav,tuba,C#2,val,0
Brass/Bass_Tuba/ordinario/BTb-ord-C#2-mf-N-N.wav,work/trimmed/Brass/Bass_Tuba/ordinario/BTb-ord-C#2-mf-N-N.wav,tuba,C#2,val,0
Brass/Bass_Tuba/ordinario/BTb-ord-C#2-pp-N-N.wav,work/trimmed/Brass/Bass_Tuba/ordinario/BTb-ord-C#2-pp-N-N.wav,tuba,C#2,val,0
Brass/Bass_Tuba/ordinario/BTb-ord-C#3-ff-N-N.wav,work/trimmed/Brass/Bass_Tuba/ordinario/BTb-ord-C#3-ff-N-N.wav,tuba,C#3,train,0
Brass/Bass_Tuba/ordinario/BTb-ord-C#3-mf-N-T25u.wav,work/trimmed/Brass/Bass_Tuba/ordinario/BTb-ord-C#3-mf-N-T25u.wav,tuba,C#3,train,0
Brass/Bass_Tuba/ordinario/BTb-ord-C#3-pp-N-N.wav,work/trimmed/Brass/Bass_Tuba/ordinario/BTb-ord-C#3-pp-N-N.wav,tuba,C#3,train,0
Brass/Bass_Tuba/ordinario/BTb-ord-C#4-ff-N-T21u.wav,work/trimmed/Brass/Bass_Tuba/ordinario/BTb-ord-C#4-ff-N-T21u.wav,tuba,C#4,train,0
Brass/Bass_Tuba/ordinario/BTb-ord-C#4-mf-N-N.wav,work/trimmed/Brass/Bass_Tuba/ordinario/BTb-ord-C#4-mf-N-N.wav,tuba,C#4,train,0
Brass/Bass_Tuba/ordinario/BTb-ord-C#4-pp-N-N.wav,work/trimmed/Brass/Bass_Tuba/ordinario/BTb-ord-C#4-pp-N-N.wav,tuba,C#4,train,0
Brass/Bass_Tuba/ordinario/BTb-ord-C2-ff-N-N.wav,work/trimmed/Brass/Bass_Tuba/ordinario/BTb-ord-C2-ff-N-N.wav,tuba,C2,train,0
